timestamp,unix_time,slab_kb,percpu_kb,sda_read_kb_s,sda_write_kb_s,sda_latency_ms,sda_util_pct,sdb_read_kb_s,sdb_write_kb_s,sdb_latency_ms,sdb_util_pct,sdc_read_kb_s,sdc_write_kb_s,sdc_latency_ms,sdc_util_pct,sdd_read_kb_s,sdd_write_kb_s,sdd_latency_ms,sdd_util_pct,sde_read_kb_s,sde_write_kb_s,sde_latency_ms,sde_util_pct,sdf_read_kb_s,sdf_write_kb_s,sdf_latency_ms,sdf_util_pct,sdg_read_kb_s,sdg_write_kb_s,sdg_latency_ms,sdg_util_pct,nvme0n1_read_kb_s,nvme0n1_write_kb_s,nvme0n1_latency_ms,nvme0n1_util_pct,nvme1n1_read_kb_s,nvme1n1_write_kb_s,nvme1n1_latency_ms,nvme1n1_util_pct,md0_read_kb_s,md0_write_kb_s,md0_latency_ms,md0_util_pct
2026-03-27T08:53:20.100272,1774619600.0998783,2096908,22272,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,5676.0,0.0,12.78,7.6,0.0,0.0,0,0.0,0.0,168.0,0.22,0.2,1148.0,0.0,25.35,2.8
2026-03-27T08:53:21.514968,1774619601.5145705,2097116,22272,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4000.0,0.0,5.5,4.2,476.0,0.0,0.12,0.2,1700.0,16.0,0.49,1.1,0.0,0.0,0,0.0
2026-03-27T08:53:22.515480,1774619602.5151625,2097180,22272,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,5376.0,0.0,6.97,8.0,2188.0,0.0,0.09,0.8,0.0,0.0,0,0.0,2000.0,0.0,16.23,238.4
2026-03-27T08:53:23.515972,1774619603.5156505,2096916,22272,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,5280.0,0.0,2.74,5.4,0.0,0.0,0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0,0.0
2026-03-27T08:53:24.516425,1774619604.5161326,2097244,22272,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,8544.0,0.0,12.04,11.3,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3808.0,0.0,28.53,5.1
2026-03-27T08:53:25.516918,1774619605.51661,2097268,22272,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,8944.0,0.0,4.42,7.8,84.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4096.0,0.0,13.53,5.0
2026-03-27T08:53:26.517406,1774619606.5170906,2097316,22272,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4256.0,0.0,2.86,2.9,0.0,0.0,0,0.0,0.0,128.0,0.2,0.1,0.0,0.0,0,0.0
2026-03-27T08:53:27.517925,1774619607.517604,2096948,22272,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,8592.0,0.0,8.88,12.4,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3664.0,0.0,40.0,5.3
2026-03-27T08:53:28.518399,1774619608.5181162,2097340,22272,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,7344.0,0.0,10.35,13.5,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3552.0,0.0,38.6,8.3
2026-03-27T08:53:29.519024,1774619609.518569,2097372,22272,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,8352.0,0.0,8.67,10.2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4464.0,0.0,24.12,9.1
